dataset,task,model,PR_paper,AUC_paper
cgmacros,diabetes_3class,cgm_jepa,63.0,75.9
cgmacros,hyperlipidemia,cgm_jepa,28.7,47.6
cgmacros,ir,cgm_jepa,86.2,73.8
cgmacros,obesity,cgm_jepa,55.5,53.8
hall,diabetes,cgm_jepa,59.9,73.5
hall,glucotype,cgm_jepa,87.6,90.7
hall,hyperlipidemia,cgm_jepa,17.3,40.5
hall,ir,cgm_jepa,56.8,68.1
shanghait2dm,hyperlipidemia,cgm_jepa,37.4,53.6
shanghait2dm,hypoglycemia,cgm_jepa,17.8,56.8
shanghait2dm,ir,cgm_jepa,69.1,60.8
stanford,beta_cell,cgm_jepa,58.7,55.4
stanford,diabetes,cgm_jepa,66.4,61.2
stanford,ir,cgm_jepa,61.5,61.6
cgmacros,diabetes_3class,glucofm,65.9,78.7
cgmacros,hyperlipidemia,glucofm,36.1,54.7
cgmacros,ir,glucofm,91.9,81.2
cgmacros,obesity,glucofm,64.9,62.6
hall,diabetes,glucofm,66.2,75.9
hall,glucotype,glucofm,88.3,90.7
hall,hyperlipidemia,glucofm,14.4,41.6
hall,ir,glucofm,60.2,70.7
shanghait2dm,hyperlipidemia,glucofm,33.5,50.5
shanghait2dm,hypoglycemia,glucofm,21.1,59.2
shanghait2dm,ir,glucofm,67.0,57.8
stanford,beta_cell,glucofm,69.0,68.7
stanford,diabetes,glucofm,77.3,72.8
stanford,ir,glucofm,67.6,69.1
cgmacros,diabetes_3class,gluformer_tiny,59.4,73.9
cgmacros,hyperlipidemia,gluformer_tiny,28.2,47.9
cgmacros,ir,gluformer_tiny,86.1,72.5
cgmacros,obesity,gluformer_tiny,60.2,57.9
hall,diabetes,gluformer_tiny,48.9,63.3
hall,glucotype,gluformer_tiny,75.4,81.7
hall,hyperlipidemia,gluformer_tiny,21.6,58.0
hall,ir,gluformer_tiny,50.9,63.6
shanghait2dm,hyperlipidemia,gluformer_tiny,33.9,51.1
shanghait2dm,hypoglycemia,gluformer_tiny,17.9,53.3
shanghait2dm,ir,gluformer_tiny,58.1,47.6
stanford,beta_cell,gluformer_tiny,63.3,61.9
stanford,diabetes,gluformer_tiny,74.3,68.9
stanford,ir,gluformer_tiny,64.5,65.4
cgmacros,diabetes_3class,x_cgm_jepa,63.6,76.6
cgmacros,hyperlipidemia,x_cgm_jepa,29.8,48.0
cgmacros,ir,x_cgm_jepa,86.6,73.6
cgmacros,obesity,x_cgm_jepa,55.3,53.2
hall,diabetes,x_cgm_jepa,59.3,73.0
hall,glucotype,x_cgm_jepa,87.7,90.6
hall,hyperlipidemia,x_cgm_jepa,17.5,40.0
hall,ir,x_cgm_jepa,56.2,67.7
shanghait2dm,hyperlipidemia,x_cgm_jepa,35.5,52.1
shanghait2dm,hypoglycemia,x_cgm_jepa,16.9,55.7
shanghait2dm,ir,x_cgm_jepa,66.9,58.4
stanford,beta_cell,x_cgm_jepa,60.0,56.4
stanford,diabetes,x_cgm_jepa,67.4,61.8
stanford,ir,x_cgm_jepa,61.9,62.0
